scenario,scenario_id,D,noise_type,method,n_series,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,mae_mean,mae_ci_low,mae_ci_high,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high
"D=1, white",eval_multi_D10_white,1.0,white,CatBoost,50,0.9213905,0.9011588279999999,0.9412004414999999,0.32544894,0.31628077450000003,0.33537841999999995,0.47934787999999995,0.468860597,0.49001918899999997,2.293644,2.0264573500000003,2.5842223499999997,0.732974,0.7217756,0.7441539999999999,0.7875759999999999,0.77138145,0.80247805
"D=1, white",eval_multi_D10_white,1.0,white,LSTM,50,0.94672822,0.9286765435,0.9641118125,0.25663669999999994,0.2461901085,0.26733240199999997,0.40242938,0.3887682225000001,0.4164775095,2.2184440000000003,2.0114294999999998,2.43944095,0.683626,0.6705978500000002,0.6967462999999999,0.7098679999999998,0.6890858500000001,0.7287446999999999
"D=1, white",eval_multi_D10_white,1.0,white,GRU,50,0.9100366000000001,0.8816461995,0.936397344,0.22559620000000002,0.21293288900000001,0.2397273595,0.35889975999999996,0.3422875215000001,0.376561585,1.5286060000000001,1.29557225,1.7866452499999999,0.6635840000000001,0.6515359000000001,0.6752742,0.674824,0.6544057000000001,0.69400435
"D=1, white",eval_multi_D10_white,1.0,white,MDL,50,0.8294503199999999,0.7910933425,0.8665710325,0.18433664,0.175355189,0.194001673,0.3001556,0.2861043425,0.3144582425,3.4540699999999998,2.948713,3.9769357,,,,,,
"D=1, white",eval_multi_D10_white,1.0,white,SWAB,50,0.5408928,0.5026634655,0.5805853089999999,0.17668277999999998,0.16495166800000005,0.1880260095,0.26504024,0.24778211449999998,0.2824550785,10.737993999999999,9.898695049999999,11.603176899999998,,,,,,
"D=1, white",eval_multi_D10_white,1.0,white,GP,50,0.56742858,0.5031404205,0.63123816,0.09003343999999998,0.080647346,0.09924746999999999,0.15486468,0.1387002165,0.17075854249999994,5.7777140000000005,4.6317860999999985,6.98088005,,,,,,
"D=1, white",eval_multi_D10_white,1.0,white,BuishandLR,50,1.0,1.0,1.0,0.025121179999999996,0.023792477000000003,0.026661163999999998,0.0489625,0.046424054000000006,0.05179243349999999,1.72,1.2,2.38,0.497264,0.47473785,0.5203368,0.519014,0.49480399999999997,0.5428965
"D=1, white",eval_multi_D10_white,1.0,white,BuishandQ,50,1.0,1.0,1.0,0.025121179999999996,0.023791664499999997,0.0266481435,0.0489625,0.0464531565,0.05186114,1.72,1.22,2.34,0.497264,0.47433549999999997,0.5195140500000001,0.519014,0.49489969999999994,0.5423628
"D=1, white",eval_multi_D10_white,1.0,white,BuishandRange,50,1.0,1.0,1.0,0.025121179999999996,0.0237944115,0.026628808999999996,0.0489625,0.04643263749999999,0.051848956499999994,1.72,1.2,2.34,0.497264,0.47460864999999997,0.51978625,0.519014,0.49485769999999996,0.5427604500000001
"D=1, white",eval_multi_D10_white,1.0,white,BuishandU,50,1.0,1.0,1.0,0.025121179999999996,0.023793676499999996,0.026608356999999996,0.0489625,0.0464537415,0.051790376,1.72,1.2,2.34,0.497264,0.47460735,0.5201433999999999,0.519014,0.49520595000000006,0.5431154
"D=1, white",eval_multi_D10_white,1.0,white,Nyblom,50,1.0,1.0,1.0,0.025121179999999996,0.023777741499999998,0.0266693215,0.0489625,0.04647027199999999,0.051816759,2.26,1.7,2.94,0.523058,0.5009653000000001,0.5445806000000001,0.5420320000000001,0.5167757000000001,0.5676306
"D=1, white",eval_multi_D10_white,1.0,white,SNHT,50,1.0,1.0,1.0,0.025121179999999996,0.0237984755,0.0266305345,0.0489625,0.04644293750000001,0.051832697000000004,1.12,0.74,1.54,,,,,,
"D=1, white",eval_multi_D10_white,1.0,white,Chow,50,0.96,0.9,1.0,0.024211620000000003,0.0222288915,0.026148683499999995,0.04718384,0.0432070615,0.050814786499999993,1.1666666666666667,0.7291666666666666,1.7291666666666667,0.53834,0.5200019,0.5567926499999999,0.542892,0.5226795000000001,0.5625224999999999
"D=1, white",eval_multi_D10_white,1.0,white,Pettitt,50,0.96,0.9,1.0,0.02397458,0.021992614499999997,0.025938691500000003,0.046733380000000005,0.042755439500000006,0.050446555,2.4375,1.3541666666666667,3.7505208333333258,,,,,,
"D=1, pink",eval_multi_D10_pink,1.0,pink,Transformer_v2,50,0.9161381799999999,0.906670528,0.9247438829999999,0.41051287999999997,0.39954345250000006,0.421514094,0.56599312,0.5548049565000001,0.5773602845,3.328144,3.21690255,3.4396095500000006,0.895662,0.8882897,0.9028420500000002,0.9719979999999999,0.96933585,0.9744701
"D=1, pink",eval_multi_D10_pink,1.0,pink,GRU_v2,50,0.98712542,0.983213164,0.9907738514999999,0.3835259599999999,0.3736585799999999,0.393565353,0.55146574,0.5412017375,0.5614237034999999,2.613812,2.48327165,2.7453920499999995,0.9216000000000001,0.91537,0.927514,0.9804979999999999,0.9783759500000001,0.982604
"D=1, pink",eval_multi_D10_pink,1.0,pink,LSTM_v2,50,0.98072722,0.9751419465000001,0.985813864,0.3544682600000001,0.34445980950000005,0.364701371,0.5196086200000001,0.5084707940000001,0.5304101935,2.097178,1.9585959500000003,2.2358580999999997,0.8695660000000001,0.8613618000000001,0.8773462500000002,0.9661480000000001,0.9623418499999999,0.9698700499999999
"D=1, pink",eval_multi_D10_pink,1.0,pink,CUSUM,50,0.79446048,0.7767799244999999,0.8119295240000001,0.2697833600000001,0.261263144,0.2781747245,0.40237697999999994,0.3910642695,0.41343850050000003,7.49583,7.268840399999999,7.709390149999999,0.473626,0.44292285,0.5046425,0.7833439999999999,0.7614272,0.8051365500000001
"D=1, pink",eval_multi_D10_pink,1.0,pink,CatBoost,50,0.8501109,0.834010332,0.8659170694999999,0.12357337999999998,0.11945727899999999,0.1274594125,0.21560748,0.208937223,0.22197960000000003,1.6131220000000002,1.47471555,1.7558489,0.6657559999999999,0.6555618500000001,0.6759346,0.9153920000000001,0.9077079,0.9226041
"D=1, pink",eval_multi_D10_pink,1.0,pink,LSTM,50,0.97305136,0.9631790954999999,0.9819294759999999,0.11366817999999998,0.110452124,0.11683914699999998,0.20339304,0.19809801599999996,0.2086257125,1.3777739999999996,1.2849519500000002,1.4835209000000003,0.6394820000000001,0.62986995,0.6491822500000001,0.905856,0.8981478,0.9129422500000001
"D=1, pink",eval_multi_D10_pink,1.0,pink,GRU,50,0.9631704800000002,0.9520724594999999,0.9738077455,0.10639278,0.103063094,0.109905637,0.19144241999999997,0.18586522300000005,0.19737958800000002,0.8131819999999998,0.7442017999999999,0.8966375500000001,0.635186,0.6215077999999999,0.64865475,0.8968200000000002,0.88771965,0.9055540999999999
"D=1, pink",eval_multi_D10_pink,1.0,pink,SWAB,50,0.85842544,0.8322029915000001,0.8843494390000001,0.06389556,0.06136081749999999,0.06649638050000001,0.11886266000000002,0.1142940665,0.12346112700000002,7.7289639999999995,7.179645949999998,8.2818216,,,,,,
"D=1, pink",eval_multi_D10_pink,1.0,pink,MDL,50,0.9516271,0.9346869625,0.96802102,0.054497359999999995,0.05275077450000001,0.056266343499999996,0.10304255999999999,0.09981695800000001,0.106337676,1.730402,1.45398325,2.0217549499999996,,,,,,
"D=1, pink",eval_multi_D10_pink,1.0,pink,GP,50,0.7757619199999999,0.6709524,0.8721440894999999,0.02080586,0.0169814335,0.024436623499999997,0.040332240000000005,0.0329682345,0.04755615699999999,3.3715414634146343,2.5507956097560975,4.250293780487804,,,,,,
"D=1, pink",eval_multi_D10_pink,1.0,pink,BuishandLR,50,1.0,1.0,1.0,0.00525452,0.005150300000000001,0.005359601500000001,0.010453820000000003,0.0102469165,0.0106545005,0.78,0.4,1.36,0.50127,0.4799299,0.5234544999999999,0.827234,0.8113857,0.84268415
