scenario,scenario_tag,method,series_seed,margin,n_true,n_pred,precision,recall,f1,mae,roc_auc,pr_auc,time_s
"D=1, white",D10_white,SWAB,1007,25,21,10,0.2,0.095238,0.129032,19.5,,,0.0156
"D=1, white",D10_white,SWAB,1007,50,21,10,0.5,0.238095,0.322581,27.6,,,0.0156
"D=1, white",D10_white,SWAB,1007,100,21,10,0.8,0.380952,0.516129,43.0,,,0.0156
"D=1, white",D10_white,SWAB,1008,25,57,15,0.8,0.210526,0.333333,10.0833,,,0.0125
"D=1, white",D10_white,SWAB,1008,50,57,15,0.933333,0.245614,0.388889,13.4286,,,0.0125
"D=1, white",D10_white,SWAB,1008,100,57,15,0.933333,0.245614,0.388889,13.4286,,,0.0125
"D=1, white",D10_white,SWAB,1009,25,45,14,0.571429,0.177778,0.271186,16.75,,,0.0125
"D=1, white",D10_white,SWAB,1009,50,45,14,0.785714,0.244444,0.372881,21.8182,,,0.0125
"D=1, white",D10_white,SWAB,1009,100,45,14,0.928571,0.288889,0.440678,30.6923,,,0.0125
"D=1, white",D10_white,SWAB,1010,25,37,11,0.454545,0.135135,0.208333,8.4,,,0.0135
"D=1, white",D10_white,SWAB,1010,50,37,11,0.727273,0.216216,0.333333,22.0,,,0.0135
"D=1, white",D10_white,SWAB,1010,100,37,11,0.909091,0.27027,0.416667,34.3,,,0.0135
"D=1, white",D10_white,SWAB,1011,25,43,12,0.5,0.139535,0.218182,12.0,,,0.0121
"D=1, white",D10_white,SWAB,1011,50,43,12,0.666667,0.186047,0.290909,17.875,,,0.0121
"D=1, white",D10_white,SWAB,1011,100,43,12,0.833333,0.232558,0.363636,30.9,,,0.0121
"D=1, white",D10_white,SWAB,1012,25,41,14,0.428571,0.146341,0.218182,11.8333,,,0.0139
"D=1, white",D10_white,SWAB,1012,50,41,14,0.785714,0.268293,0.4,20.8182,,,0.0139
"D=1, white",D10_white,SWAB,1012,100,41,14,1.0,0.341463,0.509091,32.2143,,,0.0139
"D=1, white",D10_white,SWAB,1013,25,49,13,0.615385,0.163265,0.258065,12.0,,,0.0131
"D=1, white",D10_white,SWAB,1013,50,49,13,0.846154,0.22449,0.354839,17.0,,,0.0131
"D=1, white",D10_white,SWAB,1013,100,49,13,0.923077,0.244898,0.387097,20.25,,,0.0131
"D=1, white",D10_white,SWAB,1014,25,35,14,0.5,0.2,0.285714,9.5714,,,0.013
"D=1, white",D10_white,SWAB,1014,50,35,14,0.785714,0.314286,0.44898,19.4545,,,0.013
"D=1, white",D10_white,SWAB,1014,100,35,14,0.857143,0.342857,0.489796,23.9167,,,0.013
"D=1, white",D10_white,SWAB,1015,25,47,13,0.538462,0.148936,0.233333,12.1429,,,0.0199
"D=1, white",D10_white,SWAB,1015,50,47,13,0.769231,0.212766,0.333333,19.5,,,0.0199
"D=1, white",D10_white,SWAB,1015,100,47,13,1.0,0.276596,0.433333,29.3846,,,0.0199
"D=1, white",D10_white,SWAB,1016,25,33,14,0.571429,0.242424,0.340426,13.25,,,0.0125
"D=1, white",D10_white,SWAB,1016,50,33,14,0.714286,0.30303,0.425532,18.1,,,0.0125
"D=1, white",D10_white,SWAB,1016,100,33,14,0.857143,0.363636,0.510638,29.4167,,,0.0125
"D=1, white",D10_white,SWAB,1017,25,43,13,0.384615,0.116279,0.178571,10.0,,,0.0116
"D=1, white",D10_white,SWAB,1017,50,43,13,0.769231,0.232558,0.357143,23.0,,,0.0116
"D=1, white",D10_white,SWAB,1017,100,43,13,0.923077,0.27907,0.428571,32.0,,,0.0116
"D=1, white",D10_white,SWAB,1018,25,49,13,0.461538,0.122449,0.193548,10.6667,,,0.019
"D=1, white",D10_white,SWAB,1018,50,49,13,0.923077,0.244898,0.387097,23.25,,,0.019
"D=1, white",D10_white,SWAB,1018,100,49,13,1.0,0.265306,0.419355,26.0,,,0.019
"D=1, white",D10_white,SWAB,1019,25,47,14,0.571429,0.170213,0.262295,12.125,,,0.0135
"D=1, white",D10_white,SWAB,1019,50,47,14,0.928571,0.276596,0.42623,20.6154,,,0.0135
"D=1, white",D10_white,SWAB,1019,100,47,14,1.0,0.297872,0.459016,25.9286,,,0.0135
"D=1, white",D10_white,SWAB,1020,25,41,14,0.5,0.170732,0.254545,8.8571,,,0.0135
"D=1, white",D10_white,SWAB,1020,50,41,14,0.857143,0.292683,0.436364,19.75,,,0.0135
"D=1, white",D10_white,SWAB,1020,100,41,14,0.928571,0.317073,0.472727,23.0,,,0.0135
"D=1, white",D10_white,SWAB,1021,25,37,14,0.5,0.189189,0.27451,6.1429,,,0.016
"D=1, white",D10_white,SWAB,1021,50,37,14,0.785714,0.297297,0.431373,14.3636,,,0.016
"D=1, white",D10_white,SWAB,1021,100,37,14,0.785714,0.297297,0.431373,14.3636,,,0.016
"D=1, white",D10_white,SWAB,1022,25,40,14,0.5,0.175,0.259259,4.7143,,,0.0185
"D=1, white",D10_white,SWAB,1022,50,40,14,0.928571,0.325,0.481481,20.7692,,,0.0185
"D=1, white",D10_white,SWAB,1022,100,40,14,1.0,0.35,0.518519,22.9286,,,0.0185
"D=1, white",D10_white,SWAB,1023,25,37,13,0.461538,0.162162,0.24,11.0,,,0.0111
"D=1, white",D10_white,SWAB,1023,50,37,13,0.769231,0.27027,0.4,22.3,,,0.0111
"D=1, white",D10_white,SWAB,1023,100,37,13,1.0,0.351351,0.52,33.6923,,,0.0111
"D=1, white",D10_white,SWAB,1024,25,45,15,0.666667,0.222222,0.333333,12.9,,,0.0125
"D=1, white",D10_white,SWAB,1024,50,45,15,0.8,0.266667,0.4,15.6667,,,0.0125
"D=1, white",D10_white,SWAB,1024,100,45,15,1.0,0.333333,0.5,26.6,,,0.0125
"D=1, white",D10_white,SWAB,1025,25,29,12,0.583333,0.241379,0.341463,17.0,,,0.0171
"D=1, white",D10_white,SWAB,1025,50,29,12,0.833333,0.344828,0.487805,26.3,,,0.0171
"D=1, white",D10_white,SWAB,1025,100,29,12,0.916667,0.37931,0.536585,30.9091,,,0.0171
"D=1, white",D10_white,SWAB,1026,25,41,14,0.571429,0.195122,0.290909,10.0,,,0.0211
"D=1, white",D10_white,SWAB,1026,50,41,14,0.642857,0.219512,0.327273,13.8889,,,0.0211
"D=1, white",D10_white,SWAB,1026,100,41,14,0.928571,0.317073,0.472727,34.2308,,,0.0211
"D=1, white",D10_white,SWAB,1027,25,27,14,0.285714,0.148148,0.195122,14.75,,,0.0237
"D=1, white",D10_white,SWAB,1027,50,27,14,0.642857,0.333333,0.439024,28.1111,,,0.0237
"D=1, white",D10_white,SWAB,1027,100,27,14,0.785714,0.407407,0.536585,33.7273,,,0.0237
"D=1, white",D10_white,SWAB,1028,25,45,14,0.571429,0.177778,0.271186,10.25,,,0.0136
"D=1, white",D10_white,SWAB,1028,50,45,14,0.857143,0.266667,0.40678,21.3333,,,0.0136
